Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15
2011-10-21,271227,-62605,-23014,93890,-28051,-205545,23877,64531,-301145,-45197,459076,-84764,-286651,-659419,-187047
2011-10-24,461833,377406,-262605,-385029,88583,122536,-30933,69766,83823,86131,27353,16656,-101688,555554,186390
2011-10-25,581565,-123640,-239727,79229,-545765,-446230,151383,364934,304194,-155672,333848,-196675,-31607,-67683,-477854
2011-10-26,165867,-227185,139926,135201,447119,21802,45177,181081,93262,118661,-602445,244977,-267647,-206331,-702175
2011-10-27,62784,375918,57676,714629,-201092,483915,-465202,-265900,481431,433225,-367111,-44721,-8985,88791,-286490
2011-10-28,-103239,-38873,-656036,-251560,105127,66909,23515,129623,256570,-23726,697,-381097,112277,562398,-381954
2011-10-31,684874,184530,-326079,-463179,460880,-138981,-474835,257505,217982,-146060,148663,259376,-143755,-21219,45822
2011-11-01,-178398,-302851,152510,-49071,31416,300832,-62124,211731,275944,-87356,79897,399099,341942,344826,440949
2011-11-02,-576780,152655,-55935,-231697,-94257,537232,333056,29532,-920116,-763528,38664,355167,126719,-220680,134740
2011-11-03,-334292,-28730,50311,104133,178633,416226,500862,262595,154311,-199905,463989,223068,315325,-130266,-190812
2011-11-04,18122,-136346,23763,-394706,25295,236531,-163762,208141,221202,188007,-438948,-302212,42737,411960,267993
2011-11-07,91495,-65959,83570,-66766,-128938,-52520,-357943,668585,282829,-275921,-261550,236118,-335943,-59376,231156
2011-11-08,76273,655928,139488,303101,18226,-407015,-522402,-494581,-174931,-26941,-473366,199137,-6742,379803,-99889
2011-11-09,-194970,-22159,-259478,94562,33763,-252325,-385402,105890,65852,-239129,699278,-281369,6967,522470,-318257
2011-11-10,-60838,240518,-9671,-103744,-131931,-37027,-108133,-190698,-198921,-455784,-190463,464033,-276798,260643,-163913
2011-11-11,454477,45877,146646,683084,-171373,218769,81750,250508,269406,-102731,99145,117027,-194256,-260614,145726
2011-11-14,368388,-14295,-71352,-272343,23521,141044,516094,-113496,81734,403111,-170855,114100,142429,442180,164233
2011-11-15,-7073,-160712,-219327,224473,-167280,68609,903393,-112647,-320513,-107769,-131131,-234328,-133107,-729745,-268365
2011-11-16,69951,373953,145290,854596,-93648,276520,28598,86235,-52368,-401518,266524,68323,-509879,395531,-508661
2011-11-17,85627,75014,278742,61775,-38562,226705,267293,-133962,-36787,-332521,624355,-307013,234471,-166077,-442306
2011-11-18,402591,117370,505693,620664,40933,-291638,-692378,-72866,120461,-205968,198997,775003,295038,497306,-6404
2011-11-21,65410,184445,291149,380060,765205,455319,-355291,271093,534241,42117,-272037,528651,255609,-208780,-392535
2011-11-22,-130690,-361933,408439,237532,153284,62782,434013,-150910,-73327,276035,-21862,214374,38811,-532320,-71098
2011-11-23,189531,349034,-60397,-396557,-142023,118482,-364599,594048,82521,-366559,-257375,-175718,219724,-205840,-336961
2011-11-24,305354,-496329,-435352,54331,515988,-439899,-192633,35551,-248845,-125767,102962,-613754,-5277,359361,-143707
2011-11-25,-66464,232487,805971,-390578,209781,-22459,-650895,-14364,-299877,237062,82036,-102994,-786538,58198,-159502
2011-11-28,-38181,-347825,-326482,50486,2062,204209,65817,103591,-79890,-106618,-101306,323737,284332,-440627,78002
2011-11-29,393729,-321860,288734,237478,-113603,46624,385476,230428,-225451,695921,-467469,-61633,512712,51125,-237496
2011-11-30,135564,-180455,-261766,62776,543290,-1061627,647434,522137,413433,40116,617961,171187,2357,-253976,176804
2011-12-01,357103,193106,-146402,-497356,-317440,679300,344896,734043,-394099,187763,-362096,292554,145492,-133893,-339796
2011-12-02,603750,-229904,90173,-439616,-45810,158033,51937,194935,129297,136037,134948,63423,1349336,-86362,-119118
2011-12-05,-296550,467848,-297267,-297011,130929,563293,122031,72851,-204304,546710,-398569,-450949,19004,-217033,140347
2011-12-06,-527212,405939,105305,-118445,347474,-40640,104251,-435669,179523,-91500,131175,25258,-173794,2068,387138
2011-12-07,-89077,386945,550153,225387,440094,-106297,510229,85585,303923,394673,140156,-35725,405339,115508,208209
2011-12-08,-16644,30386,-430228,-55259,143953,163810,-35503,204553,61647,242064,-323503,238498,-137988,159896,43529
2011-12-09,119239,571369,-403939,5277,392204,-113589,331961,20542,568822,104959,287936,681122,380132,440538,5082
2011-12-12,256800,831838,157939,-379786,176776,-296313,78399,-845603,-455962,-43377,476602,293227,224905,751612,-118905
2011-12-13,-36933,-385262,294956,-10452,-85152,547333,272573,117235,415664,77004,-58110,-57605,-183246,-127513,69200
2011-12-14,188036,-568970,-255524,-207917,-23764,-465863,215651,229354,-339152,-207944,-55385,189274,-321186,404961,-547574
2011-12-15,144370,-308200,378588,267787,314934,27604,310139,-268970,-35283,-33648,-155344,-340092,330104,-238667,288354
2011-12-16,404785,112310,262273,-67485,-413368,219207,-10229,74160,-238581,37459,286826,147068,430692,-157283,506844
2011-12-19,-659600,20891,108643,-215882,-169919,-26482,125839,198419,-255623,473481,-518351,-600664,-294046,401591,-330332
2011-12-20,147868,-224184,18766,-30618,172101,288694,-169795,-453270,-327365,-233895,484352,-46694,-218952,-258091,358374
2011-12-21,-44236,-136649,210997,-13918,-44805,169685,-186936,-40718,-353888,110903,-152769,786659,-577129,24916,-116110
2011-12-22,184489,25016,-421587,-128576,170577,-759726,476182,325497,228488,-464581,117753,298506,-16641,91452,-108916
2011-12-23,-212909,470850,-336960,441572,-346402,-299312,60931,-279207,301990,-61274,-151476,314316,883698,-190410,-237019
2011-12-26,-356797,-117322,508224,121681,-126975,188777,108107,-317814,-233849,259768,-33653,-686166,-5677,317457,1758
2011-12-27,-262951,-92806,335632,368488,652861,76067,-277061,-455478,-203347,191717,-150584,392765,293507,157712,-470844
2011-12-28,-146984,361660,348840,60647,291575,-98949,171563,115366,78947,302561,131305,153261,234876,369252,214003
2011-12-29,302752,422341,468614,753640,-209334,549895,-69034,-216838,-111669,-424762,-379829,-579536,709859,-247487,-447448
2011-12-30,-162483,-178993,549930,-67783,569188,-46085,-93771,-20579,273394,-179958,-285418,110378,225469,-192698,82555
2012-01-02,-22116,-192524,-592554,72632,249409,-125811,193129,266135,186199,287587,-266998,341416,34178,-203050,441241
2012-01-03,-134239,41139,111491,423823,-317264,-94951,-313208,11966,296937,-305139,-47925,235357,-482330,191910,101890
2012-01-04,-282589,-190768,448242,30134,188316,151188,-665138,-378618,326536,168994,391298,200117,321215,69435,235798
2012-01-05,-447640,-70889,164888,262214,-11599,-54992,-84321,115087,-154426,361020,-188134,-53098,-425836,427645,-117293
2012-01-06,132601,-109153,704307,-16313,53474,-42276,46889,-265010,6552,454283,-331459,163946,169252,-16201,-98839
2012-01-09,-256879,75252,-718306,-420465,376411,-50756,124221,-224519,236199,109587,190812,33532,-64036,197249,-303946
2012-01-10,-146276,311428,193004,-221456,-740740,546080,-435737,-12118,-134748,-259538,-59863,213014,-295982,-197732,-273897
2012-01-11,568546,-671777,-704613,-271627,-500522,3586,85693,490657,14152,119057,-259454,207313,369974,63089,-236947
2012-01-12,-32326,-143069,-85732,191658,130145,329473,125190,-377068,-130999,118742,-306514,-166954,162837,305430,154855
2012-01-13,183271,21407,-395578,161285,293685,130032,-236742,-578743,-448425,5709,110968,-70156,296126,271744,165642
2012-01-16,-222568,-9369,11975,-130014,-162690,430686,-5829,219950,273676,-26656,117743,498209,76799,215342,-194373
2012-01-17,-440922,-378611,423283,102790,-432772,-96402,301166,-51105,311015,51872,-172279,215921,-536433,142580,115716
2012-01-18,-528664,-49871,-257209,109646,-654504,127766,573815,293985,487049,-267815,994666,44451,-344233,153147,582682
2012-01-19,-84813,-115859,57486,-37962,470998,151551,44888,92978,265666,176366,36348,-17240,-220089,-198090,-111310
2012-01-20,-400429,116805,547386,-407763,275866,-112012,262152,-114515,610578,-534699,-396615,-205133,-148755,508747,-278234
2012-01-23,131297,-47697,88180,-121929,516174,-125448,-97456,28780,100094,47413,-86959,66436,-25839,172381,-22583
2012-01-24,-34907,752519,416295,146787,475496,-199405,166864,298473,186911,95843,487874,-188215,-487368,-238616,-124353
2012-01-25,63331,505981,-405133,-118356,-121650,291974,40112,-442080,-184388,337673,240636,-453551,123590,-32675,56959
2012-01-26,8324,-263951,-574107,184648,190833,-11513,317259,18493,32014,440719,146824,175486,410320,-10073,-74872
2012-01-27,13181,287335,-249255,54056,-376006,113224,41918,105973,882402,204341,280515,-499046,-699073,52920,-48369
2012-01-30,-162550,148180,-192359,102108,-52061,46874,71525,-9087,-130792,-449143,129539,-20467,-320982,54645,-162881
2012-01-31,-424996,33423,181391,-66133,185317,-149807,-17446,149194,-411259,-306240,-391598,217744,-412363,318707,-358391
2012-02-01,52813,-163898,-60305,-106860,-2944,-54264,-262949,125924,-124802,40702,449358,269887,283439,-303633,368469
2012-02-02,356188,142633,286040,401037,-293894,-391807,-88581,-90551,-287489,710458,205885,210521,325559,-360379,-71662
2012-02-03,-162346,387950,387676,-295767,288859,359447,462229,-140529,71480,-255377,340784,510748,258599,-81685,293912
2012-02-06,322490,-210198,189082,-625970,167984,715016,-141054,-30278,703298,234945,234206,307112,57777,-290750,-338933
2012-02-07,269646,492118,99337,-88642,177311,-119627,-444088,-69365,316160,-140595,-56908,449482,-63727,-122610,-242092
2012-02-08,313169,56096,462882,-103967,452089,231776,117606,-298622,-173879,879,-79700,407562,-172239,-323606,-200828
2012-02-09,169757,138212,-19752,227600,-46340,349708,273533,-298878,-256908,-290885,-292884,-221154,665381,-498791,-346833
2012-02-10,766016,-80565,231776,199224,-293100,182802,198531,79428,156170,393948,134436,415190,482570,549031,131867
2012-02-13,28760,-541151,-297279,-322948,98636,-500527,-201816,128773,-24652,510831,-513179,-284495,126254,744275,134880
2012-02-14,500049,-79649,523553,-344053,289280,-235856,31249,-58277,-263061,89915,-232253,-233606,338922,55492,12288
2012-02-15,225186,271414,-160536,465406,445837,-118,37566,-223139,15465,-257161,-67128,199898,18761,-586597,450584
2012-02-16,43087,-188156,209586,429295,-214529,-67361,-60302,110982,-67740,93188,196385,-71596,310995,183338,-563206
2012-02-17,609151,-413543,22580,504049,-142451,-135119,116681,-256864,479325,-720549,467529,-504567,115950,-240938,-597597
2012-02-20,324406,203738,136335,-172657,423587,-174514,-116544,197698,133528,-3384,-572332,1567,116679,-590924,6000
2012-02-21,-113717,-78548,268734,-223558,-215508,-639218,438182,54691,-86719,242831,176435,223330,14929,269276,291953
2012-02-22,69572,994358,488654,-8304,-53249,-87634,218093,-300892,-300462,-21905,227318,-26305,407303,-502762,-199752
2012-02-23,-767227,326951,-163308,623892,188210,-175351,-54010,-652359,-46326,20082,129362,82442,-78953,1076416,-228903
2012-02-24,90537,-289362,-408615,-46150,545446,471774,237175,-293106,469962,416507,182465,5474,15204,85889,63922
2012-02-27,186549,48907,251183,72286,98806,257752,-19255,97308,370958,-319701,306558,36608,-256249,191552,415293
2012-02-28,-179976,-393988,-49433,347859,152739,-46632,240376,-180933,525203,53894,118308,-140400,424614,-82,-33790
2012-02-29,681520,161318,-124533,-162113,-364468,-635904,407829,-237087,87360,276289,-343911,-79716,-741151,152130,-453625
2012-03-01,-102611,184645,-206180,443816,135007,403086,26601,-442389,213881,125103,-174906,224341,-55032,-86280,-5167
2012-03-02,-77632,-392328,402967,460130,1235079,-303206,188681,-452821,445881,584176,-51040,-61081,304995,-51599,447309
2012-03-05,119616,361951,5964,-327643,-451658,311462,349121,165904,96736,211846,408011,311935,-519294,323236,167904
2012-03-06,137967,-255552,-30087,81895,463344,-398626,-180572,313568,-78020,12723,-36338,-611960,74767,-44004,-195266
2012-03-07,69950,-482324,68133,19318,30334,-357624,-407823,826736,-49776,-537522,-18875,521015,221195,-400327,290885
2012-03-08,-361046,199343,-328726,439332,26571,-232098,229370,517193,386013,237993,-125796,-306600,174908,-110594,205842
2012-03-09,-118819,-183403,-21854,-123571,-261553,-499646,-61058,119784,313967,261890,-199136,-85321,299764,-407464,-215621
2012-03-12,18154,299808,462001,-341343,593449,93211,237584,-99709,30597,321748,413692,56544,-473806,-78514,-163298
2012-03-13,229995,-648524,193523,-143743,-83094,542333,159474,3019,-357804,-229897,-392603,202686,-5729,-295475,354634
2012-03-14,-229746,643795,-103290,676305,-121650,62537,36806,209324,301489,125945,-653645,-229355,-314080,275299,622287
2012-03-15,61617,678836,-304702,-128254,-235120,-262020,-443565,-189212,122299,-300385,121317,-87998,-189485,248785,104568
2012-03-16,186272,336913,39680,265657,-102904,11829,119870,-276124,-320673,-200857,982917,-157132,-555623,2725,-363044
2012-03-19,-27066,236439,370993,-30347,312627,-548722,661678,409852,223886,-285204,190158,-198061,38676,-332794,-205225
2012-03-20,835268,93624,-74867,54755,-614232,35444,326743,-78023,263978,-182748,-35946,123747,253894,284507,-66
2012-03-21,-86481,41092,156878,414364,-323565,165383,-138698,-65933,16200,-214222,59491,303168,-233206,41458,-535335
2012-03-22,338292,289095,759832,-251762,-304010,199081,164057,-172503,334915,-595796,144737,-412690,-40649,-168299,90907
2012-03-23,439031,-56011,380334,117524,117137,-242510,193214,-14526,51231,145426,424409,-5725,116188,81724,-337512
2012-03-26,-277134,30390,-118232,77382,-149957,162005,-669528,711224,-197925,788882,-123154,6491,350529,-113128,-458579
2012-03-27,192444,43179,-141412,310317,-428715,176601,309695,-176554,-488186,299421,173740,-77191,358129,663650,-20786
2012-03-28,49754,181444,148560,-256139,-581305,34751,-815050,-330042,449472,61927,-97401,-453240,208468,-335159,80790
2012-03-29,257993,169955,462498,-40016,-259937,586259,2494,42478,-122339,551377,288862,-418879,237488,-220234,-462022
2012-03-30,-569710,-52317,310488,-589490,194037,-322953,-89202,331727,78534,261164,-674947,14358,90566,299482,308914
2012-04-02,-65354,-487475,358063,369798,782302,-375685,108293,505879,-63733,-73554,-526669,178919,-306169,-237363,184068
2012-04-03,-354147,212527,-269542,188151,190656,-310824,178120,165776,588965,119708,430437,-378584,152177,320613,-138556
2012-04-04,125433,383686,-165394,-501739,153059,21236,69883,190732,50047,211577,575580,107799,-65287,-47350,644770
2012-04-05,721604,458342,328982,155261,47683,252394,1969,-351203,-455354,349140,203305,-135246,-223849,157922,-289889
2012-04-06,-256264,-13481,454458,3438,-17199,-364196,54589,498871,190207,-89957,-113713,16867,184298,338518,-45138
2012-04-09,497445,526745,-139319,205646,21851,393881,-434810,-215868,51573,-34797,114404,601846,297841,-4773,-598474
2012-04-10,-140190,397136,291646,-225797,-378357,883382,44055,-35100,753884,261210,463990,248084,45334,46547,364923
2012-04-11,245261,461516,-376669,386785,-326820,592735,-64180,168171,414441,122658,-354632,231088,759413,-23221,-91475
2012-04-12,450320,-143762,422851,315032,434242,76622,-180202,608445,196950,768985,294570,-54922,271958,517881,268646
2012-04-13,-346030,251932,40968,-356874,-170627,-241863,166503,-104846,-426394,9167,-379651,-380362,-171438,-205076,616080
2012-04-16,-202125,90147,527697,305549,593760,-502306,-236901,403149,516576,-166298,-555290,-325677,-254660,-388881,380548
2012-04-17,38838,-324580,27471,164511,326111,-2915,231748,533308,-67276,-504386,-253341,640172,768247,571621,-8122
2012-04-18,388048,209043,244398,265546,-450052,-325339,-349982,129390,114151,-13008,236753,480652,246234,314331,-716306
2012-04-19,-284764,62648,202099,-790742,525484,-115955,-321888,-181354,-36624,-519754,-369213,-197695,-355512,216494,70479
2012-04-20,196729,303616,-71596,323547,80645,-131812,-695283,-297327,676817,207397,-209646,-7784,-648524,55979,142776
2012-04-23,-68822,-46229,-12826,-137352,-355239,-49422,-326207,291177,110555,174765,432632,200332,86328,199084,169683
2012-04-24,101133,186049,-214912,-210656,-166585,-700463,639620,-170717,195601,-161850,31930,484413,153850,226949,-456980
2012-04-25,-425018,64268,-82660,-93841,-228865,228262,14815,185582,-185620,51260,-575930,308564,523567,-367594,-139739
2012-04-26,198587,199720,24430,285747,127613,81921,360789,155074,-10565,344914,-7931,-940606,-31242,-372688,-182034
2012-04-27,-322650,290894,489766,-210759,83136,188875,-153826,-226587,597577,-782794,188292,183556,-25960,-456536,-50133
2012-04-30,-765355,375397,-557371,-304724,575269,-259992,-396921,-77692,-219255,258727,28552,-250300,-140234,469661,134375
2012-05-01,-427850,-120147,220246,57193,-396892,-36611,89946,-44748,-611702,37461,-154508,-309359,604772,-463780,-204109
2012-05-02,437056,174921,42081,-299715,386314,-1495,-519658,189888,-171488,-149566,503958,-660949,-336463,303453,-117217
2012-05-03,107248,-313155,35281,-145951,-129696,158554,22951,-14409,-217664,416673,-525904,-172899,-430809,-76119,19172
2012-05-04,299550,-102718,-336203,-423498,456998,660341,287574,-440670,2674,242515,22689,-19727,-654353,387242,636075
2012-05-07,25493,74346,-435570,22501,556988,362632,-33182,-179506,-360196,334276,-36064,-225953,-273859,-45794,35149
2012-05-08,-171898,-259229,39692,390180,-686903,-375287,-981924,-55841,14584,91555,675199,7787,143071,-107921,130001
2012-05-09,466,259999,-306201,-305242,215777,190597,217383,118232,-862830,245327,155320,-151372,173568,108966,-142848
2012-05-10,227021,-463805,31712,142564,470395,-418800,-115750,304319,-292425,-576523,239473,74133,126971,-86271,279542
2012-05-11,374104,-502887,939438,20458,409834,179188,-451786,-2856,124567,153855,166924,539097,375499,347434,350711
2012-05-14,-85077,-416845,339159,403064,-447989,242218,-145786,-79340,517799,-244597,480548,-407132,-168734,433517,-475729
2012-05-15,350012,-351339,649605,-315549,-78051,76132,-16149,549555,229176,-181090,166562,633385,-229129,-5331,-592200
2012-05-16,-229415,-277465,308575,236604,101957,-298820,-154390,-59751,80127,-51280,-83049,-420731,168078,55163,-381952
2012-05-17,202232,309892,279893,-156439,-3655,12689,489002,-33384,521822,17692,117114,107550,795328,-6742,41393
2012-05-18,314295,436055,204658,541911,100700,-231,520734,159386,-337999,485178,313908,207749,-94681,178505,-109598
2012-05-21,513079,239378,731812,47387,34593,288139,-314161,-258235,-25992,-227588,-94681,128320,386783,-142115,-180991
2012-05-22,-297859,452112,-41826,391745,-334613,146815,34401,-232332,-431627,-198083,128858,333865,69599,532127,180700
2012-05-23,-734389,-8993,23531,-108345,177729,344339,-173819,-164148,-691013,-320426,651038,110276,-114721,58671,231813
2012-05-24,492430,-54637,-390810,-159503,33560,236928,592198,310363,-30294,381749,17071,242399,275661,-47235,328309
2012-05-25,63665,-500256,-6056,8019,-51765,-301704,181708,576618,-142254,-103344,1123,352946,472739,34513,87545
2012-05-28,27853,473594,-38479,74291,490662,228332,47715,-67010,373310,41176,-131801,256637,188867,-146487,196201
2012-05-29,198472,-150717,28495,189475,351815,1235,-153149,49282,291795,179796,177682,-160235,157646,209446,-197526
2012-05-30,-171153,24151,-287886,316262,355543,649152,163057,440878,-91235,773099,-382574,91285,-434060,-202483,696100
2012-05-31,-394944,-4696,155868,-194631,130457,671844,165349,-14702,-273026,596163,-471025,-533195,-180972,268675,-87223
